The?number?of?target,B-VNS,H-ALNS,H-LAHC,I-IGA,B-RLGA,LLM-GP,,,,,,
1,2317.5,2108.1,2087.2,2260.3,2334.5,2263,0.931257582,0.084512738,0,0.699959563,1,0.710877477
2,2208.1,2019,2006.8,2151.4,2176.8,2190.7,1,0.060606061,0,0.718330849,0.844510681,0.913561848
3,2433.6,2190.5,2135.8,2374.6,2420.5,2396.1,1,0.183680322,0,0.801880457,0.956010745,0.874076561
4,2283.3,2027.4,2040.6,2287.4,2276.3,2288,0.981964697,0,0.050652341,0.997697621,0.955103607,1
5,2418.9,2198.5,2161.3,2375,2402.2,2378.5,1,0.144409938,0,0.829580745,0.935170807,0.843167702
6,2273,2065.5,2052,2266,2277.4,2250.2,0.980479148,0.059893523,0,0.949423248,1,0.879325643
7,2419.7,2214.8,2170.5,2377.6,2427.8,2408.2,0.968519238,0.172172561,0,0.804897007,1,0.92382433
8,2271.5,2098.2,2074,2243.3,2263.8,2268.3,1,0.122531646,0,0.85721519,0.961012658,0.983797468
9,2318.1,2123.3,2078,2308.8,2332.2,2293.4,0.944531865,0.178206137,0,0.907946499,1,0.84736428
10,2226.7,2018.6,2023.5,2196.3,2223.8,2181.2,1,0,0.023546372,0.853916386,0.986064392,0.781355118
11,2379.5,2133.8,2078.2,2338.6,2371.2,2324,1,0.184533687,0,0.864254895,0.972452705,0.815798208
12,2240.9,1999.4,1992.8,2216.1,2235.9,2208.1,1,0.026602177,0,0.900040306,0.979846836,0.867795244
13,2450,2231.7,2195.6,2381.6,2484,2371.6,0.882108183,0.12517337,0,0.644937587,1,0.610263523
14,2303.3,2089.9,2079.5,2245.2,2290,2254.6,1,0.046470063,0,0.740393208,0.940571939,0.782394996
15,2630.6,2464.2,2449.5,2569.6,2623.8,2608,1,0.081170624,0,0.66316952,0.962451684,0.875207068
16,2479.2,2235.8,2261.6,2398.9,2483.8,2449.6,0.981451613,0,0.104032258,0.65766129,1,0.862096774
17,2429.4,2182.1,2144.3,2354.3,2454.9,2370.2,0.917900837,0.121699936,0,0.676110753,1,0.727301996
18,2235.2,2004.1,2005.6,2256,2230.8,2260.9,0.899922118,0,0.005841121,0.980919003,0.882788162,1
19,2404.9,2231.4,2174.7,2395.6,2405,2396.6,0.999565784,0.246200608,0,0.959183673,1,0.963525836
20,2275.6,2052.1,2043.8,2250.8,2281.2,2279.2,0.97641112,0.034962089,0,0.871946083,1,0.9915754
21,4653,4217.9,4214.5,4161.3,4600.1,4751.7,0.832825203,0.095867209,0.090108401,0,0.743224932,1
22,4483.8,4092.6,4149,4026.5,4405.3,4621.5,0.768571429,0.111092437,0.205882353,0,0.636638655,1
23,4668.5,4284.8,4286.8,4374.3,4664.3,4690.9,0.944841172,0,0.004924895,0.220389067,0.934498892,1
24,4585.1,4148.4,4181.4,4243.9,4592.9,4552.9,0.982452193,0,0.07424072,0.214848144,1,0.910011249
25,4666.4,4222.3,4248.6,4204.8,4661,4646.3,1,0.037911612,0.094887348,0,0.98830156,0.956455806
26,4483.7,4111.5,4181.4,4063.1,4484.1,4486.3,0.993856333,0.11436673,0.279536862,0,0.994801512,1
27,4741.7,4286.6,4327.5,4161.4,4743.7,4712.1,0.996565344,0.215009445,0.285248154,0,1,0.94573244
28,4498.9,4199.2,4219.9,3911.2,4482.2,4529.1,0.951124777,0.466094837,0.499595404,0,0.92409775,1
29,4598.2,4205.1,4235.7,3853.2,4589.8,4558.6,1,0.472348993,0.513422819,0,0.988724832,0.946845638
30,4486,4092.6,4108.5,3763,4502.8,4402.9,0.97729116,0.445525818,0.467018113,0,1,0.864963504
31,4540.6,4141.9,4142.3,3873.4,4538.7,4621.2,0.89221717,0.359053223,0.359588125,0,0.889676384,1
32,4447.6,4064.6,4047.1,4025.8,4439.6,4471.4,0.946588869,0.087073609,0.047800718,0,0.928635548,1
33,4809.3,4385.7,4403.6,4323.8,4807.8,4814,0.990412077,0.12627499,0.162790698,0,0.987352101,1
34,4602.8,4294.1,4291.2,3844.4,4600.3,4623.8,0.973056197,0.576982294,0.573261483,0,0.969848601,1
35,4835.9,4424.1,4445.8,4019.4,4820.4,4878.4,0.950523865,0.47112922,0.496391153,0,0.932479627,1
36,4673.6,4293.5,4315.4,4267.8,4671.7,4686.2,0.969885277,0.061424474,0.11376673,0,0.965344168,1
37,4780.7,4396.1,4399,4037,4771.9,4799.6,0.975216365,0.470889064,0.474691844,0,0.963676895,1
38,4680.7,4200.5,4253.7,4280.2,4683.4,4693.8,0.973444152,0,0.107845125,0.161564971,0.978917494,1
39,4925.1,4520.2,4515.5,4369.9,4957.3,4856,0.945182159,0.25587334,0.247871978,0,1,0.827545114
40,4755.2,4316.5,4375.4,4225.7,4756.6,4760.2,0.990645463,0.169878391,0.280074836,0,0.993264733,1
41,5500.9,5153.9,5169.7,5347.5,5500.6,5573.3,0.827372437,0,0.037672866,0.461611826,0.826657129,1
42,5484.4,5054.9,5099.3,5198.1,5488.3,5474.9,0.991001384,0,0.102445778,0.330410706,1,0.96908168
43,5428.4,5065.8,5165.9,5429.3,5397.8,5615.7,0.659392617,0,0.182033097,0.661029278,0.603746136,1
44,5321.4,4985.9,5036.3,5186.1,5343.4,5515.7,0.633257833,0,0.095130238,0.377878445,0.674782937,1
45,5669.1,5368.4,5433.5,5660.4,5777.3,5947.1,0.519612926,0,0.11249352,0.504579229,0.706583722,1
46,5716.2,5263.9,5320.9,5427.1,5688.4,5780.7,0.875193498,0,0.110294118,0.315789474,0.821400929,1
47,5451.1,5061.1,5090.2,5348.5,5469,5535.8,0.821571519,0,0.061301875,0.605435012,0.859279545,1
48,5360.7,4982,5040.5,5131.4,5333.7,5418.9,0.866788739,0,0.133897917,0.341954681,0.8049897,1
49,5296.3,4940,4956.5,5229.8,5263.4,5423.5,0.736918304,0,0.034126163,0.599379524,0.668872802,1
50,5318.3,4852.2,4923,5069.4,5306.7,5287.6,1,0,0.151898734,0.465994422,0.975112637,0.934134306
51,5633.7,5240.2,5240,5549,5602.6,5783.6,0.724245769,0.000367918,0,0.568432671,0.667034584,1
52,5461.1,5095.8,5171.7,5308.3,5483.9,5608.3,0.712780488,0,0.148097561,0.414634146,0.757268293,1
53,5747.7,5388.2,5406.4,5670.2,5702.3,5913.7,0.684110371,0,0.034633682,0.536631779,0.597716461,1
54,5654,5242,5325.5,5364.1,5644.9,5702.7,0.894291296,0,0.18124593,0.265031474,0.874538745,1
55,5799.2,5312,5394.2,5616.4,5801,5826.9,0.946203146,0,0.159642649,0.591182754,0.949698971,1
56,5644.8,5215,5287.1,5374.8,5656.4,5681.2,0.921921922,0,0.154654655,0.342771343,0.946803947,1
57,5842.5,5419.8,5488.5,5725.4,5748.9,6064.4,0.655755507,0,0.106577723,0.47409246,0.510549178,1
58,5681.4,5317.3,5391.1,5405.1,5670.1,5851.2,0.681962914,0,0.138228133,0.164450272,0.660797902,1
59,5907.8,5491.7,5548,5755.1,5896.6,6061.6,0.730128093,0,0.098789261,0.462186348,0.710475522,1
60,5711.6,5335.6,5345.7,5413.3,5647.1,5823.1,0.771282051,0,0.020717949,0.159384615,0.638974359,1
61,7711.8,7188.3,7212.6,7199.3,7656.5,7826.4,0.820404325,0,0.038081805,0.017238677,0.733740793,1
62,7703.1,7005.2,7070,7110.7,7684.5,7754.4,0.931526962,0,0.086492258,0.140816871,0.906700481,1
63,7815.6,7218.4,7317.5,7258.6,7832.4,7884.4,0.896696697,0,0.148798799,0.06036036,0.921921922,1
64,7778.6,7086.6,7197,7144.9,7777.6,7813.3,0.952249897,0,0.151919637,0.080225678,0.950873813,1
65,7916.9,7214.8,7312.7,7367.6,7875.4,8018.7,0.873367334,0,0.121781316,0.190073392,0.821743998,1
66,7823.3,7115.2,7194.8,7198.6,7741.7,7984,0.815032228,0,0.091620626,0.095994475,0.721109576,1
67,7762.4,7189,7239.8,7306.1,7664.6,7937.4,0.766167825,0,0.06787814,0.15646713,0.635489043,1
68,7724.4,7046.3,7105.4,7234.5,7693.4,7862.4,0.830903076,0,0.072417596,0.230608994,0.792917535,1
69,8055.8,7402.7,7544.7,7513.5,8031.9,8189.8,0.829754796,0,0.180409097,0.140769915,0.799390166,1
70,7987.1,7288.9,7363.4,7334.8,7988.7,8154.9,0.806235566,0,0.086027714,0.053002309,0.808083141,1
71,8041.7,7415.4,7488,7461,8051.4,8107.7,0.904665607,0,0.104867832,0.065867399,0.918676874,1
72,7833.9,7235.2,7291.8,7313.7,7904.7,8017.2,0.765601023,0,0.072378517,0.100383632,0.856138107,1
73,7769.9,7187.5,7271,7324.6,7844.9,8017.2,0.70194046,0,0.100638785,0.165240448,0.792334579,1
74,7736.5,7042.7,7127.8,7162.7,7627.2,7924.6,0.786710511,0,0.096496201,0.136069849,0.662773557,1
75,7952.7,7398,7393.9,7395.3,7901.2,8072.7,0.823217443,0.006040071,0,0.002062463,0.747348262,1
76,7754.4,7197.3,7211.8,7337.4,7748.1,8053.3,0.650817757,0,0.016939252,0.163668224,0.643457944,1
77,8194.9,7482.7,7568.1,7619.8,8213.3,8348,0.823067144,0,0.098694095,0.158442159,0.844331446,1
78,7998.1,7337.2,7391.1,7399.1,7904,8275.6,0.704283887,0,0.057438193,0.065963342,0.60400682,1
79,8222.2,7438,7541.6,7508.2,8225.3,8301.9,0.907743952,0,0.119921287,0.081259405,0.91133233,1
80,8012.4,7334.6,7442,7410.1,7900.1,8267.9,0.726240223,0,0.115075538,0.080895746,0.605914497,1
