id,name,type,resolution,sunLight,leftForbiden,rightForbiden,TLE1,TLE2,maxImaging,RecordPlatRate,storage,energy,transitionGround
0,OPT0,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  26.4647 124.8950 0058698 253.8631 108.0499 13.2729177000000,300,3,4000,3000,35
1,OPT1,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  19.6827 334.0067 0476045 111.2765 326.1704 13.3702987100000,300,3.5,4500,3500,30
2,OPT2,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  11.7007  18.2730 0743402 251.2031  34.2247 13.8634872600000,300,4,5000,3600,40
3,OPT3,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  28.0319 208.6046 0201336 356.8380 255.9424 13.5527739600000,300,3,4700,3700,30
4,OPT4,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  28.7885 177.7367 0587126  43.0419 285.3780 13.0331197600000,300,3.5,4800,3400,40
5,OPT5,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  39.4444 213.6408 0866784  88.8138 351.5504 13.7647083800000,300,4,4000,3300,35
6,OPT6,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  17.0223 170.9293 0173735 158.8034 161.9067 13.9287590900000,300,3,4500,3000,45
7,OPT7,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  42.3953 228.1415 0648822 258.0218 193.7857 13.0882878300000,300,3.5,5000,3500,35
8,OPT8,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  16.7546  35.1572 0648121 338.9418  95.3737 13.2872898600000,300,4,4700,3600,30
9,OPT9,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  20.0221 270.9387 0264574  67.9640 306.4307 13.1226693300000,300,3,4800,3700,40
10,OPT10,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  20.0416  99.0562 0970304 153.4804   2.9118 13.2076056300000,300,3.5,4000,3400,30
11,OPT11,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  1.4641 321.3175 0715556 301.4382 205.8145 13.5442993800000,300,4,4500,3300,40
12,OPT12,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  2.1653 341.9388 0753030 328.7021 224.0850 13.9276100400000,300,3,5000,3000,35
13,OPT13,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  36.2542  33.1482 0199964 326.8514 148.9049 13.5527961100000,300,3.5,4700,3500,45
14,OPT14,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  29.4620  51.5091 0584250 252.3711 129.8252 13.5310782200000,300,4,4800,3600,35
15,OPT15,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  40.4649 179.3771 0465411 141.3332 197.7471 13.0411260700000,300,3,4000,3700,30
16,OPT16,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  10.4583 209.3095 0324694 110.9420 125.0682 13.5188052500000,300,3.5,4500,3400,40
17,OPT17,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  45.8661 147.3274 0443784  84.3112  89.1521 13.7309575300000,300,4,5000,3300,30
18,OPT18,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  59.9377 230.6088 0630926 124.9157   3.6503 13.9380685100000,300,3,4700,3000,40
19,OPT19,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  59.1812 156.7224 0285935  67.8173 220.2165 13.1583061500000,300,3.5,4800,3500,35
20,OPT20,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  52.2183  49.7618 0722930 299.3951 293.0825 13.0080480400000,300,4,4000,3600,45
21,OPT21,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  46.4604 231.1222 0759784  23.6476  68.1351 13.4194990700000,300,3,4500,3700,35
22,OPT22,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  21.6315 239.7348 0177474 256.1283   9.7732 13.6494105500000,300,3.5,5000,3400,30
23,OPT23,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  43.4453 249.1800 0497903 127.3949 328.1682 13.8956043900000,300,4,4700,3300,40
24,OPT24,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  8.3113  93.9858 0209036 214.2948 195.6034 13.2691138300000,300,3,4800,3000,30
25,OPT25,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  49.0610 357.8056 0381678  92.7482 319.6842 13.5393985100000,300,3.5,4000,3500,40
26,OPT26,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  7.0942 114.4857 0109013 274.0018 157.9882 13.3906744600000,300,4,4500,3600,35
27,OPT27,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  14.8337 340.2199 0266804 311.9953 200.0870 13.7310453100000,300,3,5000,3700,45
28,OPT28,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  46.4014 212.5002 0836821 343.4318 310.9776 13.7989143800000,300,3.5,4700,3400,35
29,OPT29,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  33.3426  41.8480 0463075 211.3038  60.4220 13.7536565000000,300,4,4800,3300,30
30,OPT30,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  47.2265 307.1756 0087439 151.0043 184.1403 13.9966524800000,300,3,4000,3000,40
31,OPT31,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  20.2842 352.9232 0190421 340.9797 244.1587 13.8753293200000,300,3.5,4500,3500,30
32,OPT32,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   4.2846 241.5958 0872642 158.9261 128.0363 13.5959415100000,300,4,5000,3600,40
33,OPT33,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  13.7907 286.8391 0169419  40.0708 119.8000 13.2342105900000,300,3,4700,3700,35
34,OPT34,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  27.8527 267.3336 0805978 267.3494 108.7728 13.6886162500000,300,3.5,4800,3400,45
35,OPT35,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  49.3698 326.2278 0566222 144.1089  89.2869 13.5543126900000,300,4,4000,3300,35
36,OPT36,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  33.4295 142.7916 0731410 240.0784 213.3862 13.6495849900000,300,3,4500,3000,30
37,OPT37,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  42.7912 283.6627 0186213 253.3999 160.1624 13.4403205300000,300,3.5,5000,3500,40
38,OPT38,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  14.0424  55.5676 0000284  30.8643 291.1824 13.4229412400000,300,4,4700,3600,30
39,OPT39,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  52.5164  79.9556 0808726 160.2012  97.2641 13.3984280900000,300,3,4800,3700,40
40,OPT40,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  46.0240 178.1575 0492758 315.9366   5.4772 13.0071107100000,300,3.5,4000,3400,35
41,OPT41,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  15.9100  79.0586 0664305 107.0219 200.2041 13.4914803000000,300,4,4500,3300,45
42,OPT42,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  15.9440  74.3207 0910030 159.6223 194.0865 13.8504492100000,300,3,5000,3000,35
43,OPT43,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  29.7966  71.8110 0448291 118.2160 238.1629 13.9945154300000,300,3.5,4700,3500,30
44,OPT44,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   0.0790 246.1820 0604811 157.6531 178.0768 13.8825189300000,300,4,4800,3600,40
45,OPT45,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   6.2608  63.6892 0294261  33.9975 197.7291 13.4039543500000,300,3,4000,3700,30
46,OPT46,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  56.2136 181.1771 0985010  47.4025 138.6286 13.4054059300000,300,3.5,4500,3400,40
47,OPT47,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  53.6668 188.2059 0654513 232.9725 327.7414 13.8541571300000,300,4,5000,3300,35
48,OPT48,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  49.6722 105.4761 0624665 318.7074 356.8416 13.4881959200000,300,3,4700,3000,45
49,OPT49,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  11.5125 298.1906 0510464  85.6630  69.5402 13.2391455600000,300,3.5,4800,3500,35
50,OPT50,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  49.8697 293.3752 0338889  80.2167 112.9167 13.8346834100000,300,4,4000,3600,30
51,OPT51,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  56.7034  37.4618 0323761 350.6754   2.8776 13.7495511800000,300,3,4500,3700,40
52,OPT52,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  19.6919 354.7541 0456782   8.0904 119.2847 13.9762948200000,300,3.5,5000,3400,30
53,OPT53,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   3.5977 325.9400 0400721 161.7721 287.5754 13.0201346500000,300,4,4700,3300,40
54,OPT54,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  42.4936 249.2740 0480451 209.4407  74.7609 13.6863940800000,300,3,4800,3000,35
55,OPT55,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  55.1951 175.5866 0611235 282.8459  85.7285 13.1846686700000,300,3.5,4000,3500,45
56,OPT56,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  53.9211 316.5529 0249057 353.4696 294.2058 13.2660254300000,300,4,4500,3600,35
57,OPT57,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  20.3666  36.7237 0676963 328.4916 163.5227 13.1126741100000,300,3,5000,3700,30
58,OPT58,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   8.4851 166.6456 0564818 153.0150 172.2238 13.2249864300000,300,3.5,4700,3400,40
59,OPT59,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  28.0193 111.1466 0263853  26.1748 163.8008 13.1698388100000,300,4,4800,3300,30
60,OPT60,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  10.3142 186.3896 0174005  13.5997  24.2508 13.3249325200000,300,3,4000,3000,40
61,OPT61,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  41.4795 189.9310 0218852 355.6709 280.7480 13.3593210600000,300,3.5,4500,3500,35
62,OPT62,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  53.3826 200.8166 0122663 105.8307 148.9184 13.0296684200000,300,4,5000,3600,45
63,OPT63,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  16.0684 178.6370 0471286 238.9778 288.4436 13.4791726800000,300,3,4700,3700,35
64,OPT64,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  54.5129  40.6412 0729414  85.6343 268.8944 13.2795297000000,300,3.5,4800,3400,30
65,OPT65,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  11.1453 267.1740 0663900  46.5105  90.8361 13.2872191200000,300,4,4000,3300,40
66,OPT66,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  57.3076 297.3941 0334364 155.1875 338.0972 13.7865875700000,300,3,4500,3000,30
